target intercept intra para.89 p.intercept p.intra p.para.89
ASCT2 0.00284802847453475 1.11957612992101 -0.0324573751776295 NA 0 0.429701934632413
CD14 -0.00950094388085511 1.13155463285802 0.0528485348468537 NA 0 0.0344687159379751
CD31 0.00429415277590803 1.24697555344608 0.0939010201147729 NA 0 0.0034126849483358
CD39 -0.00273003759263636 1.01846367332707 0.0794217214217043 NA 0 0.000238740536958382
ATP5A -0.000180696995556319 1.06070465067974 -0.0264462049397196 NA 0 0.183134048793317
CD45 -0.0120509463488769 1.13259096822214 0.116608473609562 NA 0 2.49170007027288e-06
CD3 0.0150859280793346 1.04410705914011 0.214782100695881 NA 0 0
CD68 0.00227900213354595 1.10342336233111 0.0638163443870646 NA 0 0.00882278515118262
CK 0.00538847147633192 1.04946488191449 0.0372684737772406 NA 0 0.108178833157268
CD36 0.00809423982050781 1.12681238152288 0.209989610060878 NA 0 0
CS 0.00304866782231536 1.0291088665227 0.0478270011214734 NA 0 0.0373562243015055
CD4 0.0227353480952894 1.05380967493247 0.116977485556796 NA 0 5.05633312997134e-10
CD11c 0.0176921956983951 1.06341810979085 0.329887933104707 NA 0 0
CD57 -0.0233115801985166 1.17387522400632 0.204779107516709 NA 0 5.44287226844631e-07
G6PD 0.00129895188985038 1.15209516881533 -0.0180233533295796 NA 0 0.613844058931113
H3 0.0246306928941532 1.05914327715448 0.149752106769258 NA 0 0
HK1 -0.00934654388404172 1.09767374315395 0.143635331645464 NA 0 4.79596029556717e-09
CD8 -0.0357335964259598 1.18435296701326 0.12171600282835 NA 0 8.95197854184904e-05
CPT1A 0.000204715223520127 1.02103212088554 0.0583231792166396 NA 0 0.00210952806672604
Ecad 0.00623002984263069 1.03827469265793 0.0402470218651785 NA 0 0.0516404981193688
LDHA -0.00438493715243657 1.04495735330238 0.0894931518081409 NA 0 1.27402624698902e-05
NaKATPase 0.011683127987293 1.05891677920137 0.0496155285303372 NA 0 0.0260373079310376
PKM2 0.00173038881833454 1.13755366824714 0.124851265135493 NA 0 0.000201231388924139
HIF1A 0.00284487603141297 1.08972060209019 -0.0317426158466612 NA 0 0.234608341574346
GLUT1 -0.00843962334081561 1.06190642643715 0.0863286228249495 NA 0 2.10489649214995e-05
SDHA -0.000585987148319714 1.05037998695314 -0.033774571956969 NA 0 0.110482126701795
IDH2 0.00121850903551726 1.05419021716326 -0.0201951578115002 NA 0 0.309386912080327
CD98 0.0137261426067347 1.05157736834137 0.0782149640223138 NA 0 0.000459443725223663
VDAC1 0.00895711970197555 1.15136439399017 0.0679942774370557 NA 0 0.016893802672284
NRF2p 0.000523376040974405 1.04797211830115 0.0449827732198324 NA 0 0.0816902654409017
S6p 0.000881057137287962 1.00620479457698 0.244161091152215 NA 0 0
PD1 0.0136587027584481 1.04639246576608 0.211133844948813 NA 0 1.07289732653726e-11
SMA 0.0266792106254112 1.14757624185066 0.385060633355603 NA 0 0
Ki67 0.00540375170995535 1.04511208124166 0.174074424209434 NA 0 2.18765361381656e-09
XBP1 -0.00242789322071206 1.16361180999994 -0.0470065877418904 NA 0 0.150617392075221
vimentin -0.0152824774871145 1.03050627840841 0.211385753807294 NA 0 0
